-999 45.99 -74.01
year month day global_rad(MJ/m2) cloud_cov(-) air_temp(C) rel_hum(%) air_press(hPa) wind_sp(m/s) precip(mm/day) inflow(m3/day) inflow_T(C) inflow_C(-) inflow_S(kg/m3) inflow_TP(mg/m3) inflow_DOP(mg/m3) inflow_chla(mg/m3) inflow_DOC(mg/m3) 
2015  6 16 10.514 0.680  17.52  84.78  978.72  2.209  8.330    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  6 17 27.932 0.473  15.18  60.95  987.62  1.800  0.000    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  6 18 26.720 0.669  18.60  68.41  980.09  2.514  2.184    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  6 19 29.877 0.333  14.42  61.92  983.04  3.323  0.049    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  6 20 30.729 0.514  15.66  62.75  983.33  2.101  0.000    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  6 21 15.765 0.848  18.54  81.19  975.06  1.470 16.211    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  6 22 21.559 0.734  19.56  76.27  979.50  1.638  2.845    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  6 23 10.929 0.750  19.15  81.64  972.59  4.317 26.344    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  6 24 25.889 0.281  16.02  66.06  981.60  3.757  3.433    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  6 25 30.595 0.340  15.40  62.28  983.76  2.645  0.000    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  6 26 25.954 0.323  16.11  60.98  985.26  2.390  0.319    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  6 27 25.791 0.797  16.89  67.80  986.85  2.013  0.001    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  6 28  6.982 0.986  13.37  93.11  979.40  3.824 10.855    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  6 29  9.653 0.853  14.05  86.34  976.93  2.132  1.963    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  6 30 25.022 0.507  17.78  78.64  980.02  2.734  2.107    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  7  1  5.614 0.980  16.34  95.38  972.46  3.233 18.716    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  7  2 25.782 0.516  15.99  65.12  977.21  4.852  0.069    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
