"","year","month","day","global_rad.MJ.m2.","cloud_cov...","air_temp.C.","rel_hum...","air_press.hPa.","wind_sp.m.s.","rain","date","doy","doy_start","buoy_start","buoy_end","category","period"
"145",2018,9,29,13.188,0.516,9.58,83.29,987.2,2.9,2.472,2018-09-29,"272",270,130,303,"buoy","lf"
"146",2018,9,30,9.455,0.762,7.15,82.1,991.29,2.902,0.153,2018-09-30,"273",270,130,303,"buoy","lf"
"147",2018,10,1,14.513,0.905,7.27,74.62,994.22,1.511,0.013,2018-10-01,"274",270,130,303,"buoy","lf"
"148",2018,10,2,1.73,1,6.58,92.39,987.84,3.813,7.126,2018-10-02,"275",270,130,303,"buoy","lf"
"149",2018,10,3,6.783,0.995,9.23,88.62,984.84,2.1,0.044,2018-10-03,"276",270,130,303,"buoy","lf"
"150",2018,10,4,7.071,0.583,12.51,78.23,978.47,4.643,4.235,2018-10-04,"277",270,130,303,"buoy","lf"
"151",2018,10,5,13.774,0.566,4.57,62.28,991.22,1.804,0,2018-10-05,"278",270,130,303,"buoy","lf"
"152",2018,10,6,4.196,0.963,6.01,72.61,986.73,2.231,3.011,2018-10-06,"279",270,130,303,"buoy","lf"
"153",2018,10,7,14.528,0.554,7.23,80.73,992.2,2.419,0.115,2018-10-07,"280",270,130,303,"buoy","lf"
"154",2018,10,8,5.368,0.778,4.83,83.99,995.3,2.413,5.024,2018-10-08,"281",270,130,303,"buoy","lf"
"155",2018,10,9,7.064,0.709,16.88,91.48,985.36,4.71,4.984,2018-10-09,"282",270,130,303,"buoy","lf"
"156",2018,10,10,2.633,0.935,12.04,91.91,982.3,3.207,8.178,2018-10-10,"283",270,130,303,"buoy","lf"
"157",2018,10,11,1.402,0.987,6.65,98.58,970.74,2.487,9.888,2018-10-11,"284",270,130,303,"buoy","lf"
"158",2018,10,12,5.135,0.908,6.07,72.88,969.74,4.171,0.052,2018-10-12,"285",270,130,303,"buoy","lf"
"159",2018,10,13,9.976,0.683,3.38,70.38,975.61,3.284,0.549,2018-10-13,"286",270,130,303,"buoy","lf"
"160",2018,10,14,10.221,0.5,5.21,70.5,985.21,3.299,0.001,2018-10-14,"287",270,130,303,"buoy","lf"
"161",2018,10,15,2.792,0.896,6.46,91.43,976.86,3.803,7.405,2018-10-15,"288",270,130,303,"buoy","lf"
